torq, px, py, theta, theta_dot, theta_dd, fitness, delta_theta, force, cx, x_dot, x_dd
0, -0.143868, 0.989597, 98.2717, -0.00368093, -0.000713114, 23.0455, 8.27172, 4.29176, -28.5841, -0.500742, 1.43082
0, -0.143496, 0.989651, 98.2502, -0.00375384, -0.000729111, 22.9938, 8.25021, 4.28075, -28.6199, -0.358026, 1.42716
0, -0.143117, 0.989706, 98.2283, -0.00382839, -0.000745542, 22.9411, 8.22828, 4.26952, -28.6414, -0.215684, 1.42342
0, -0.142731, 0.989762, 98.2059, -0.00390464, -0.000762422, 22.8874, 8.2059, 4.25806, -28.6488, -0.0737234, 1.41961
0, -0.142337, 0.989818, 98.1831, -0.00398261, -0.000779765, 22.8327, 8.18308, 4.24638, -28.642, 0.0678485, 1.41572
0, -0.141935, 0.989876, 98.1598, -0.00406237, -0.000797589, 22.7768, 8.15981, 4.23447, -28.6211, 0.209024, 1.41176
0, -0.141524, 0.989935, 98.1361, -0.00414396, -0.000815909, 22.7199, 8.13607, 4.22233, -28.5861, 0.349795, 1.40771
0, -0.141106, 0.989995, 98.1118, -0.00422744, -0.000834743, 22.6618, 8.11184, 4.20994, -28.5371, 0.490154, 1.40359
0, -0.140679, 0.990055, 98.0871, -0.00431285, -0.00085411, 22.6026, 8.08713, 4.1973, -28.4741, 0.630093, 1.39938
0, -0.140243, 0.990117, 98.0619, -0.00440025, -0.000874028, 22.5422, 8.06192, 4.18441, -28.3972, 0.769602, 1.39509
0, -0.139799, 0.99018, 98.0362, -0.0044897, -0.000894517, 22.4807, 8.0362, 4.17126, -28.3063, 0.908674, 1.39072
0, -0.139345, 0.990244, 98.0099, -0.00458126, -0.000915598, 22.4179, 8.00995, 4.15785, -28.2016, 1.0473, 1.38625
0, -0.138882, 0.990309, 97.9832, -0.00467499, -0.000937293, 22.3538, 7.98316, 4.14416, -28.083, 1.18547, 1.3817
0, -0.13841, 0.990375, 97.9558, -0.00477095, -0.000959624, 22.2884, 7.95583, 4.1302, -27.9507, 1.32317, 1.37705
0, -0.137927, 0.990442, 97.9279, -0.00486922, -0.000982615, 22.2218, 7.92793, 4.11596, -27.8047, 1.46041, 1.37231
0, -0.137435, 0.990511, 97.8995, -0.00496984, -0.00100629, 22.1538, 7.89945, 4.10142, -27.6449, 1.59715, 1.36747
0, -0.136933, 0.99058, 97.8704, -0.00507291, -0.00103068, 22.0844, 7.87039, 4.08658, -27.4716, 1.73341, 1.36254
0, -0.13642, 0.990651, 97.8407, -0.00517849, -0.0010558, 22.0136, 7.84072, 4.07144, -27.2847, 1.86916, 1.3575
0, -0.135896, 0.990723, 97.8104, -0.00528666, -0.00108169, 21.9414, 7.81043, 4.05599, -27.0843, 2.00439, 1.35236
0, -0.135361, 0.990796, 97.7795, -0.0053975, -0.00110838, 21.8677, 7.7795, 4.04022, -26.8703, 2.1391, 1.34711
0, -0.134815, 0.990871, 97.7479, -0.00551109, -0.00113589, 21.7925, 7.74793, 4.02412, -26.643, 2.27328, 1.34175
0, -0.134257, 0.990946, 97.7157, -0.00562751, -0.00116426, 21.7157, 7.71568, 4.00768, -26.4023, 2.4069, 1.33628
0, -0.133688, 0.991023, 97.6828, -0.00574687, -0.00119353, 21.6374, 7.68276, 3.9909, -26.1483, 2.53997, 1.3307
